Compound #,InChI Key,label,Cortex_Control,Cortex_Control,Cortex_Control,Cortex_Control,Cortex_Control,Hippocampus_Control,Hippocampus_Control,Hippocampus_Control,Hippocampus_Control,Hippocampus_Control,Cerrebellum_Control,Cerrebellum_Control,Cerrebellum_Control,Cerrebellum_Control,Cerrebellum_Control,Basoganglia_Control,Basoganglia_Control,Basoganglia_Control,Basoganglia_Control,Basoganglia_Control,Cortex_LowDMSO,Cortex_LowDMSO,Cortex_LowDMSO,Cortex_LowDMSO,Cortex_LowDMSO,Hippocampus_LowDMSO,Hippocampus_LowDMSO,Hippocampus_LowDMSO,Hippocampus_LowDMSO,Hippocampus_LowDMSO,Cerrebellum_LowDMSO,Cerrebellum_LowDMSO,Cerrebellum_LowDMSO,Cerrebellum_LowDMSO,Cerrebellum_LowDMSO,Basoganglia_LowDMSO,Basoganglia_LowDMSO,Basoganglia_LowDMSO,Basoganglia_LowDMSO,Basoganglia_LowDMSO,Cortex_MedDMSO,Cortex_MedDMSO,Cortex_MedDMSO,Cortex_MedDMSO,Cortex_MedDMSO,Hippocampus_MedDMSO,Hippocampus_MedDMSO,Hippocampus_MedDMSO,Hippocampus_MedDMSO,Hippocampus_MedDMSO,Cerrebellum_MedDMSO,Cerrebellum_MedDMSO,Cerrebellum_MedDMSO,Cerrebellum_MedDMSO,Cerrebellum_MedDMSO,Basoganglia_MedDMSO,Basoganglia_MedDMSO,Basoganglia_MedDMSO,Basoganglia_MedDMSO,Basoganglia_MedDMSO,Cortex_HighDMSO,Cortex_HighDMSO,Cortex_HighDMSO,Cortex_HighDMSO,Cortex_HighDMSO,Hippocampus_HighDMSO,Hippocampus_HighDMSO,Hippocampus_HighDMSO,Hippocampus_HighDMSO,Hippocampus_HighDMSO,Cerrebellum_HighDMSO,Cerrebellum_HighDMSO,Cerrebellum_HighDMSO,Cerrebellum_HighDMSO,Cerrebellum_HighDMSO,Basoganglia_HighDMSO,Basoganglia_HighDMSO,Basoganglia_HighDMSO,Basoganglia_HighDMSO,Basoganglia_HighDMSO
370,AYFVYJQAPQTCCC-GBXIJSLDSA-N,Threonine,16513668,24760600,39970244,19965968,22323144,19845736,13905131,30330684,35428196,21947062,25354886,25614818,24432724,23053796,31205872,23714074,23364996,24698944,25689574,24450078,21754262,28393244,21912238,23306360,23305826,22189952,28261504,32104832,31867530,34468964,29300508,30477546,36554520,39702616,33306360,22344960,33531382,21356610,27044804,28725734,24188294,28224886,22509260,24096544,25391866,15647970,54586072,33149394,25763500,26175456,35530140,34525872,28957582,34382880,41866048,28502846,27321332,28894372,40018096,27409974,29381746,39354864,31892448,26040672,27191966,21622826,34466684,58164528,33639788,22734248,43365668,32198784,41330416,40077632,36365596,45930920,37561428,36186592,27326040,39485812
371,QIVBCDIJIAJPQS-VIFPVBQESA-N,Tryptophan,14028538,18191176,13046147,19069112,23032110,14963058,11687244,34894508,39778680,14844980,23420164,21949816,19458328,18018816,25814676,23722898,23760034,18888276,20696756,21242986,15483367,23861516,24736924,20484806,23173464,20023320,24817942,23059640,25920414,27878836,26336962,29360314,29342692,45151792,26020740,17161142,26248298,17433620,31121038,28378400,14901907,27328452,22139438,37370216,24261960,13548090,26487934,42258860,22414046,35575360,35739988,27138704,24376180,36771704,28295220,27652694,25754524,36081736,26098268,29310504,26908736,20357812,34071440,18435852,16993504,16129929,20297608,20271736,28683554,21804796,25494994,24538330,42223732,32121220,28875884,30411528,11884862,20865966,19463098,23146610
372,OUYCCCASQSFEME-QMMMGPOBSA-N,Tyrosine,2385411,3045473,1982384,2733328,3739551,2170395,2115590,6013457,4867018,2479802,3602053,3407169,3120328,2856053,4219904,3103278,3045203,2965066,3118612,3552302,2371298,3066205,3786232,3212580,3684128,3311542,3828898,5029568,4755408,3495449,5080020,4072550,4745907,5177672,4052958,3528461,3573142,2427520,5032739,4057158,1964031,2950062,2384877,4077128,2869727,1774018,2873902,2978886,2427336,3622132,3939570,2621807,2469450,3477548,3160385,3104248,2734729,2949488,2576703,2852634,2185918,1784045,2805938,2140904,1528771,1941740,2169215,1972809,2161104,2654987,2665069,2197166,3809633,3017920,2370851,2383938,1807430,2086898,1868499,2176257
373,KZSNJWFQEVHDMF-BYPYZUCNSA-N,Valine,147306,241940,246092,216118,171386,153703,100309,229901,269164,148144,173997,181886,171321,172773,219510,222790,219675,288169,197748,215469,146235,278611,148708,192814,173423,177693,237126,220072,218729,396652,198413,220789,221489,296269,268566,193599,353573,205508,280502,244870,213565,267794,266290,280287,217280,136118,336489,328190,266534,288105,305084,321161,249819,359566,250047,273803,282214,343531,381887,282534,230999,316620,270619,203282,167725,169841,312046,279404,227114,183396,38814,228883,281651,358486,248285,305893,318493,239304,250350,315230
374,KDXKERNSBIXSRK-YFKPBYRVSA-N,Lysine,771494,1211346,2423743,810711,760673,767478,555955,842952,1360865,786879,1185386,958779,1058531,1037939,1474781,909760,1168567,1191913,1084418,846957,1187655,994332,872834,1245017,1056618,1036531,1470636,1542821,1228632,1883625,1105230,1119613,2386126,2138300,1763154,805092,1225178,1095562,1134408,1293413,1192007,1226847,1013712,1102104,1107077,686057,4302592,1436692,1170958,1244505,1904755,1754144,1355782,1834963,1783521,1231333,1170440,1605272,2274096,1369593,1042255,2288786,1253430,979978,934621,1012299,2146671,3298062,1505926,704762,2977575,1841000,2094917,1438087,1769614,2078979,1464481,1600149,1499674,2126552
375,UGTZHPSKYRIGRJ-YUMQZZPRSA-N,Lys-Glu,276131,355174,337118,273995,512233,290791,189954,481002,907286,410616,539167,521424,388777,609992,282544,633110,843150,544071,563657,543175,380426,425760,431294,375410,332763,592749,701565,726396,653013,680929,728836,927851,858677,1757750,1095177,407837,628336,479798,557333,582602,375846,686113,200912,1094278,641958,220927,437481,1229470,640064,372128,980154,1045171,851415,1018697,972884,783101,575184,1278584,709468,864662,650101,705292,1562152,714697,379913,201576,589282,469837,652133,166415,886972,768643,1199529,348999,708947,687560,349067,526071,580385,825184
376,NPOAOTPXWNWTSH-UHFFFAOYSA-N,3-Hydroxy-3-methylglutaric acid,339020,683923,411380,673184,983802,346640,377703,922620,1007590,410425,179746,156330,147658,159776,311547,677118,942243,540329,642805,603060,739246,1013104,618812,464182,1095564,1150568,1191854,329332,1046314,988016,181949,72238,184825,769351,290742,615993,673065,583312,497228,652605,310766,1083474,703588,2227593,1028557,354014,965530,1603724,1368484,1524829,269912,611089,40220,220216,898349,828991,534678,265691,860164,610883,863700,593476,1782531,567384,488642,399586,1314840,1102465,732261,375915,179344,157019,566773,116694,434131,1411751,222652,797006,564539,684078
377,JDSHMPZPIAZGSV-UHFFFAOYSA-N,Melamine,769551,1156786,692945,591453,5068474,584829,304509,1177011,503054,655881,798708,429107,724550,335922,699338,437113,755409,359283,550947,352691,572448,486300,693766,319292,535663,296297,396042,359605,896358,350021,502419,466289,550670,698770,223799,265848,329019,417550,289251,809909,263906,492698,282270,1025472,385161,655967,790398,482529,573548,453814,379492,447468,633171,386375,657489,693063,403786,781685,562604,377028,351452,636219,1035818,517799,341033,469887,342727,424366,372194,1011003,1361420,406289,530898,338581,489247,535703,267930,681020,577712,393612
378,DRLFMBDRBRZALE-UHFFFAOYSA-N,Melatonin,59793,31398,408743,244696,41879,34833,44544,81150,51768,349586,38160,37030,27610,38562,33526,39713,36286,67972,26705,35110,52986,50285,38822,36299,10558,5922,26384,10332,10962,70826,16170,20939,12887,11142,23072,7910,21185,19038,5043,13171,442277,13216,26921,50186,72224,5703,137796,14708,54296,16900,10414,21168,12721,37508,23935,113535,9514,99931,17829,10415,2879,37206,5711,27153,14533,3095,31946,22482,3158,8750,30159,22386,6612,19981,26595,3666,10879,11633,18485,14616
379,NZWOPGCLSHLLPA-UHFFFAOYSA-N,Acetylmethylcholine,3134288,4770940,1796812,4469134,5990320,4833786,4869109,10040868,11334126,2153894,9186281,8513763,6269813,5986534,9534272,6639732,6361954,6117328,5761098,6658674,4246474,4486923,5213111,5205765,5547970,7799551,9529281,7958826,8423097,7581630,9195855,8457654,9683239,15288314,11402012,6124642,6415798,6034177,7017414,7933049,1878818,3616632,2335831,4215094,3042254,1890977,2430182,5545893,5069514,4984287,6979270,6244700,5087492,6937450,6863609,3347159,3015878,5619637,3050814,4580411,1901978,1892210,2924929,1741776,1302567,1641923,2058047,1902966,1762126,900618,4236836,3612545,6864672,3032848,2753698,2286331,1271104,2077597,1618557,2350228
380,QEFRNWWLZKMPFJ-YGVKFDHGSA-N,Methioninesulfoxide,196780,392781,349322,120840,154243,146480,142166,272966,299816,199031,157599,187977,117809,90019,165034,151660,213028,145868,131887,197556,298731,205212,192649,412185,628714,151715,203724,180402,236782,414232,172632,137146,223954,245003,178520,118658,232519,139519,190110,187253,298844,199242,161524,334293,371106,227032,544120,309301,149878,345501,284982,293203,141504,270409,389048,328658,283061,216973,416369,144916,541659,857128,596644,354531,374154,303605,641429,1256172,583634,406822,644083,523120,622518,851376,549976,796057,597147,487752,541083,555915
381,QLWKTGDEPLRFAT-UHFFFAOYSA-N,5-Methoxytryptophol,1000,25514,415546,43889,1000,1000,24101,1000,13130,1000,1000,24619,1000,1000,52511,1000,1000,1000,1000,1000,1000,1000,25851,1000,1000,1000,15711,54290,1000,1000,1000,1000,50076,1000,1000,30032,1000,1000,1000,20472,25684,1000,1000,1000,1000,1000,1000,29766,1000,1000,1000,1000,1000,1000,23141,20950,1000,1000,15679,1000,32984,1000,28302,1000,19889,28458,1000,1000,26708,18793,1000,1000,1000,1000,48095,1000,13267,1000,1000,25668
382,KXKVLQRXCPHEJC-UHFFFAOYSA-N,Methylacetate,1500209,3727402,655176,1733286,1528639,1800553,1310740,2650169,2885093,2152802,1284202,914292,1271463,1392446,1572780,2063935,2297702,1934240,2565651,1472736,4023538,2774280,2025042,3736054,1997379,2665472,2438764,1822639,2789557,4585762,1805464,2106360,1255412,1666554,1896603,1352264,2243743,2445538,1791801,2633952,2739866,2719573,2114032,3135383,2221883,1533438,4989053,2439486,3898198,2593218,4369751,1757888,1755342,3091166,1722440,2161995,2985314,3031837,4863455,2658222,2698959,4394996,3188876,1985700,2650902,1149963,3509404,1330350,2449617,1440187,4906453,3285793,3781077,3123899,2120272,3642798,2400419,2115542,1708016,3211127
383,ZDLDXNCMJBOYJV-YFKPBYRVSA-N,"L-Arginine, methyl ester",160090,234700,251293,224255,345717,141696,138595,525388,476609,322427,220210,209495,306220,555005,348192,295595,296507,266986,394252,227672,248119,193079,292606,295378,382307,272232,159030,208733,238159,196630,504255,860424,150309,202352,279809,304202,409508,292844,259458,305042,148785,348816,148635,660718,300463,157704,313881,416708,561070,554412,597424,389904,517268,512100,258524,243455,229573,320701,344627,341244,276773,383360,429381,229392,374093,156403,397054,355539,397692,288622,605220,306762,582457,433138,385171,251395,201930,266258,196063,184414
384,LVHBHZANLOWSRM-UHFFFAOYSA-N,Itaconic acid,3465868,9099215,29607598,4000975,4466542,3704506,3033080,5821390,4871868,3150712,4461634,3090224,3168178,4295732,3509308,4676360,3783705,4780344,3393207,2896218,8644529,6016880,4482969,9375303,9132018,4021632,4899484,4119300,4958646,13287364,4815660,4771244,6856726,5739714,4057720,2496547,5683284,4129541,3503054,4239166,3548663,4563969,4107717,5513446,4028757,3734159,18811734,5980034,5224418,5492782,5716822,5999602,4563824,5964038,4127593,3444845,4123208,4142494,13048012,4902313,4643728,11954649,5543918,4400886,3533337,2925197,7568984,21110356,4401042,2981266,17649856,6942216,5651446,11428800,4780626,7026393,3447005,4587608,3872254,5372505
385,ZIYVHBGGAOATLY-UHFFFAOYSA-N,Methylmalonic acid,371441,831416,6376262,604244,551409,429524,282151,699020,871811,466869,648537,347364,383739,475686,723966,723397,567257,594424,703329,568602,624083,773450,573967,596271,716044,824555,961590,867026,918153,990125,821397,824073,669422,949493,980205,581294,957437,839223,779641,818815,857862,1031608,725974,860039,931628,465077,1508687,1354369,1018371,833449,879646,920105,644040,1007123,925074,791201,865871,993260,1056643,1052298,929703,908307,887132,630929,804052,401512,847545,508472,862322,490088,865992,807348,937445,680873,884806,1292542,767585,835391,675959,931074
386,WXUAQHNMJWJLTG-UHFFFAOYSA-N,Methylsuccinic acid,4896864,14504092,3606116,7809417,8038044,8693376,6406182,18100248,19537466,7131944,9733082,10810071,7283614,10598634,12186169,9820551,13403014,13611438,8738113,9960568,10747904,12159679,4726448,8294389,7431436,12735121,14228271,13315384,12537090,24178074,14227512,12289337,11216116,15309223,15206401,6696342,11477582,11508846,9886855,11348905,8941518,10733614,7040579,12024578,7764013,7712992,19649272,18390376,18678528,16199091,17928972,19947636,12647081,25676206,15164360,12078217,14724801,16862086,15837938,14714690,6851288,13412317,9362493,8304262,5176728,7157644,16633984,9136523,8823596,6048178,21439462,13805296,18180730,15877749,13397938,14653569,11130713,11354537,8670234,10596547
387,DSLZVSRJTYRBFB-DUHBMQHGSA-N,Mucic acid,371664,1004976,1276181,417010,560662,415118,283412,691732,648462,325785,487818,432642,288523,539143,573629,552465,482552,662593,479971,452237,1227730,707161,461074,1155372,587997,433860,622160,501005,577874,1036264,578334,658646,515998,698792,517938,343631,770958,610760,497522,378644,494950,596320,395139,818068,536500,370433,1181715,722071,735196,770799,805056,709535,612833,887285,586220,414025,646234,671024,1125421,575530,387054,1170199,799932,584975,472674,405076,936073,1453396,485274,279886,1588747,1168298,930183,1178589,649449,820680,446682,548819,520001,593644
388,LDHMAVIPBRSVRG-UHFFFAOYSA-O,1-Methylnicotinamide,89133584,90549192,64894992,85985392,113997088,55811888,46243652,125838936,166441168,42671228,52148768,55532404,63287616,29411930,61097028,92090624,103264752,72854024,101859088,92661152,104888736,139861168,121063088,70607024,124459640,135563584,120668888,87388256,98694768,146455712,55662204,54913184,58318592,100711712,76911184,96469536,123099264,81204128,80777552,116481376,186625344,359590048,242130864,478991488,327393696,168260528,235924640,477355584,308678784,326418912,159563616,176094080,157132848,195493744,210535728,184906112,283923648,291951296,152904560,281808768,133520416,148666272,227263600,116350336,83914384,106117504,140337936,132865520,177644256,149984992,47070696,46819312,50493328,49693412,80879072,237775008,55529444,125828568,152183728,87039952
389,PQBHGSGQZSOLIR-RYUDHWBXSA-N,Arg-Phe,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,14710,1000,1000,1000,92742,1000,20138,1000,1000,1000,18914,1000,16212,18046,1000,33126,1000,24335,1000,1000,29900,44748,59583,1000,1000,18398,19641,1000,20689,1000,17671,28678,39896,18261,23042,1000,1000,39293,1000,1000,1000,1000,25868,1000,19512,18108,1000,26866,24431,1000,61328,1000,26016,1000,30666,76724,38883,26680,43049,1000,45380,31893,39788,48690,18325,61668,36243,72823
390,MYYIAHXIVFADCU-QMMMGPOBSA-N,Anserine,3528750,4585779,4291396,6132468,9840434,2540558,3116059,4443647,6125326,10263485,54862236,47858192,44748328,28235680,64949144,20290548,21851472,12675182,24808908,11070924,5597773,5909756,5343154,4202546,5826082,7116864,7079823,39570748,5831124,6102696,26228234,36911616,75216272,83841344,87576048,25465938,14919250,17748926,8386432,10844780,5323811,7677945,7094734,6606175,6694986,5017162,7759972,13573955,8930659,6723894,58261152,48562020,64966908,40598320,92766488,11009784,18334406,28327952,12485331,22019720,8881929,8987915,11187604,7552953,6790969,9870228,12892422,7769410,8356898,3899593,31742170,29343724,48798640,28468160,33727436,12083247,16616204,30953980,5262405,22900244
391,OWQDWQKWSLFFFR-WDSKDSINSA-N,gamma-Glutamylglutamate,11795773,14497738,13475744,11123649,12320048,9249779,6961509,11509075,19228602,14635006,8262048,6505122,6532059,9174060,14207816,14353145,22811256,19215984,14551236,14603644,16102644,15801841,15658684,8137036,21122100,18790802,20086534,10616001,20983634,18906488,18094482,12416694,9988048,14992877,14614089,12483438,13066034,15365095,11555005,12436331,12649198,24750156,17807964,26703868,24717220,10072127,14292139,35646004,14638558,20971388,15921622,23535596,11148216,21132060,12284970,14515978,12490914,30886446,18606328,25397780,27757838,21014152,24929032,18420432,13105342,17639452,15795069,16869280,26728322,7754840,24822658,14788030,19144528,6733462,17273422,21944312,10081189,15173154,16489482,16309066
392,MYFMARDICOWMQP-YUMQZZPRSA-N,gamma-Glutamylleucine,42262,67984,163761,63188,55221,49072,31447,80998,120621,62780,68036,61822,52859,73697,60982,64464,74328,72266,57209,81175,59790,71024,55310,59440,60264,64760,91004,85112,83225,161459,82888,103786,89381,86267,87588,67057,95704,77201,75274,76667,64472,99688,75964,76177,84055,38626,168913,121416,70979,83254,116828,130201,76772,115063,69730,86612,89419,177415,163167,108504,76616,164442,70274,69158,51307,50101,74418,111064,60269,34249,152884,92263,85358,101486,93247,85230,73122,60703,59383,74970
393,VVLXCWVSSLFQDS-QWRGUYRKSA-N,gamma-Glutamyltyrosine,18413,22607,28045,29495,35326,8905,5766,26356,28690,31646,28413,14780,32011,6295,48716,47308,38760,41242,59546,22804,17536,32241,26595,25363,22641,24871,34833,78185,46108,63464,31926,24668,130863,119779,81142,51827,56203,42211,57589,44737,27366,20410,17356,38263,19058,16827,100335,45664,35376,42132,56352,53952,59441,32310,104334,51732,63867,46123,121956,45540,22372,56679,50994,34703,34621,7488,54065,88174,26157,25393,27144,11380,32550,22528,32226,46085,72204,56440,32935,110283
394,FONIWJIDLJEJTL-UHFFFAOYSA-N,N8-Acetylspermidine,2431589,3851854,3322562,2067331,2759536,2320858,2301206,5306792,7901607,1973309,3788133,3210710,2276523,5102066,3661211,2531622,3062894,2287839,3384791,2285696,3217729,3599848,4311780,4011393,4328219,5337846,3590168,3820510,4775946,5514748,5280872,5137408,4888688,5202582,5688300,2531933,5642453,2385219,3763178,3605847,3496578,4292829,2281488,8875322,3561758,1579716,6193292,7465947,4687726,6835791,6268413,4297304,2393754,7372866,3253537,2468110,2594898,3936376,3304591,3475635,3425246,4600749,7002374,3849952,2965016,2941633,4319533,3660348,3386767,1436274,6312766,5107621,9243798,2924744,4454032,4624008,1461559,2241511,3943759,2655116
395,BFSVOASYOCHEOV-UHFFFAOYSA-N,"N,N-Diethyl-2-aminoethanol",3078236,3598222,3921732,7172944,3868399,1036956,1206358,3890309,5026241,2479365,3018937,2077610,2282412,2090286,2739319,3183765,3653936,2337466,3293809,2842743,1852487,4055098,4098965,1850177,3370192,2803385,2813488,3880890,2857722,3152528,5809436,4735500,5340944,4106840,3492615,2586724,2707439,2771617,4206305,3017864,3052829,4411811,3853458,5023334,5191350,3895887,4505502,8981258,4354007,3878971,4286104,7283914,6421864,5577232,3988636,4988550,3887634,7856202,4627216,5278858,3816398,3334662,4805065,3718964,2252634,986163,1187473,1613192,1719830,1882804,1820112,1947756,1926859,1612122,1971462,2101180,1220410,1599241,1294195,2224448
396,XXBDWLFCJWSEKW-UHFFFAOYSA-N,"N,N-Dimethylbenzylamine",47106,41352,89853,118098,101452,39299,31883,136055,120473,86797,91375,102305,57365,51761,73942,106301,46779,51122,81152,59578,29919,9528624,43328,58148,49328,65434,81000,50530,56190,57833,51606,96400,20119,61316,45435,56584,154276,37019,156063,40860,36700,173073,81490,27979,77004,50479,54250,80288,104064,32800,34910,40500,41406,34919,43453,105677,31678,93089,62687,138205,50266,95894,95789,41942,19962,39332,39786,66204,20755,83404,61380,54579,98998,44126,63046,57855,24563,33016,31894,45334
397,ZMXDDKWLCZADIW-UHFFFAOYSA-N,"N,N-Dimethylformamide",3214126,2612219,2443989,3358955,2517671,1125031,1402653,3382966,3546239,5113136,1596439,992394,1867985,1887230,1347117,3946714,3954767,3120303,2484328,1526769,2338354,2385114,2424646,2426397,2473336,2047153,2128890,2590114,1871521,1576197,1672230,1181179,1193086,2406440,1266522,2119076,2793224,1956880,2204743,2255586,1894839,2650507,1777376,5517207,2903125,1998889,3308216,2939896,2881945,3473052,2388911,3066182,2554859,3429046,1787892,3784783,2711382,3966858,3539288,2456576,3049449,2941548,4290264,2513520,2392739,1141705,2045584,1984632,1657580,1630538,1572657,2029935,2863568,1257793,2015299,1817603,1300102,2069865,1644064,2217879
398,UYPYRKYUKCHHIB-UHFFFAOYSA-N,Trimethylamine N-oxide,696027,102777,284347,386925,575960,416554,374007,255255,517542,1233423,266094,606058,945490,1263284,1088029,574178,1021510,736811,710490,702449,889358,432932,588324,896262,519329,816510,479542,492387,400280,355836,773862,715761,1493493,806373,1124850,690980,526953,920706,387861,658310,275089,624135,525873,618837,287991,316749,733045,625170,490089,255810,364844,338027,213663,473565,522771,531807,294716,464287,725656,487559,495067,807378,890692,505015,547169,498922,377852,302874,325938,307057,611730,400354,387070,398727,594939,519018,193428,277500,504919,466966
399,QLROSWPKSBORFJ-BQBZGAKWSA-N,Pro-Glu,2199166,4001937,4514283,3641300,5280080,1848828,1534514,4770149,9227549,3006970,5066886,3635875,3128860,1658255,8221877,9661168,6179642,4370146,9254098,5266712,2249036,7235294,4142490,1386003,9685404,13049969,11365552,14776353,12336654,12599498,13201583,5827156,16501442,23582408,19397588,16912992,9076832,15993111,13415164,11360595,5938440,12586549,7236113,14555655,8601390,5895136,10713511,10281312,6330460,6895148,8765440,12113960,5572084,11188035,12099628,12072867,11234460,16802962,14578860,14378544,11911676,7127464,11348116,7571756,5926738,3562524,12192274,10274374,14382606,5070792,9849882,7029670,16401692,3725799,15611747,14166512,11712422,13100417,12076163,17902710
400,QUOGESRFPZDMMT-YFKPBYRVSA-N,Homoarginine,84432,158894,297749,112574,134379,128356,75430,167798,203443,102511,192813,166880,147179,130932,221018,113131,123458,182623,140575,136374,198412,155470,164810,200465,198918,166005,221508,225965,202092,255450,196664,192376,340278,344181,305491,112474,169854,165504,175528,173876,178705,223994,135921,245557,205659,109337,572408,276108,192618,241267,349516,270931,241680,370212,279083,184348,183328,189919,311033,171318,184066,389212,191101,192520,184667,174284,392947,556389,203457,116179,497746,328726,335427,228518,314902,277305,192166,205288,261975,309091
401,KTHDTJVBEPMMGL-VKHMYHEASA-N,N-Acetylalanine,197692,247493,55413,100762,175403,120686,186013,223587,137515,131565,212869,196989,36116,117707,366926,291958,251827,207259,167507,147163,273865,83978,162741,75498,178880,220191,76424,276517,198201,243235,160504,169248,209907,560693,170843,165737,303916,198781,183592,171652,179056,182639,210921,274162,132333,189593,215865,232997,222764,190601,215480,176938,136321,207903,290240,176410,149212,363381,178225,225572,124144,140802,147231,134334,180536,168856,166614,149272,184984,36735,89375,147758,249443,200881,123010,202641,113164,105189,150223,273153
402,BKAYIFDRRZZKNF-VIFPVBQESA-N,N-Acetyl-L-carnosine,288663,421142,355460,316286,468735,180254,174805,409232,780328,1027737,1671155,1261943,1054018,560701,1425333,1126244,1256850,490797,536777,512997,316072,446098,550861,765089,223171,317489,354970,824321,325438,523229,570805,940301,1950420,2147208,1275613,458941,602958,423831,555588,268375,208568,252872,267439,274216,394860,197412,285693,452671,247418,428742,742394,985859,3031977,892838,1762130,483062,460280,462508,435036,415697,370238,365280,503789,188739,169416,307561,346745,292045,437579,241855,853990,1267746,1659009,908345,1317697,481245,271930,659296,265728,849462
403,RKFMAQNDSSSRTH-OSMVPFSASA-N,N-Acetyl-D-galactosamine 4-sulfate,184288,471793,170285,222793,173486,138123,120224,184290,174615,153515,215173,170570,150440,172558,145482,171679,213880,229881,157929,161119,390848,214250,215336,540628,209983,147876,167189,171165,155470,410067,172892,187889,242315,197159,121457,132365,265597,162225,189279,185538,142164,139877,169760,215517,188151,93351,370331,201035,121178,194672,223204,212072,178891,215641,161981,124562,163809,191535,398918,154278,176908,411951,236879,141108,138769,97249,163630,181236,133462,115303,450475,238307,193873,521554,120250,167585,90583,112632,123825,146337
404,DWAICOVNOFPYLS-OSMVPFSASA-N,N-Acetyl-D-galactosaminitol,396670,845918,372135,472204,435923,307184,198617,371623,463268,443450,442290,474871,472607,266708,549103,733818,1068309,1006674,632493,539529,662839,566636,433378,690827,465294,361609,408386,500406,393934,690761,363559,308791,744510,877512,587886,477781,681193,983025,518449,494325,2242796,448353,1034056,522122,2633426,1431208,5021047,763172,370125,400664,472380,638354,658397,478816,3417116,1898697,635369,907524,6581925,970304,1541812,4916759,2452751,1854049,2140877,1472420,2722871,913728,1879976,1418150,3520316,1519037,447362,2077394,1897266,3058579,546914,2474886,1734845,3273328
406,OTCCIMWXFLJLIA-BYPYZUCNSA-N,N-Acetylaspartic acid,24187298,41594552,102089880,21834208,26144716,20275502,16846082,32958258,41247788,28918318,21169002,22173140,25590218,15217105,30047402,34256388,31195618,30412696,33685984,26244732,33482736,36117384,28635996,33729148,34804660,28097152,32376692,28231658,32711980,42926108,27396552,16721210,35370860,40691728,39892496,24467436,37287224,30814532,30465286,29514620,41651364,45633692,31921350,43283936,39651712,22745744,107081656,53930724,39897040,34971484,35256244,42933596,33060352,33222248,54279028,36125112,35992696,39641576,52525028,37070364,43886164,62343816,41701172,42329820,35555188,27438582,46290940,219615824,39691052,20027804,44382048,20349616,23808518,17173502,37386828,60495052,36383840,35635456,35249676,44562076
407,RFMMMVDNIPUKGG-YFKPBYRVSA-N,N-Acetylglutamic acid,39429,48182,150456,28685,51896,41182,32893,66620,101714,52195,92918,98619,98852,28169,117435,98782,99583,65084,69432,48055,34315,68413,33444,50210,60035,59602,101840,76417,85310,90201,40653,57521,151506,179295,156800,44019,87759,60511,45543,74343,52957,68573,49829,43523,42037,47321,146361,74381,114557,122503,96895,108493,125632,70270,200114,58041,84025,102054,89974,84874,70811,97813,68450,57269,63928,91261,44341,346492,68727,34679,63803,53383,68265,6717,90715,68984,75764,95939,54757,127146
408,XUYPXLNMDZIRQH-UHFFFAOYSA-N,N-Acetyl-L-methionine,522919,500080,281941,1323114,854131,592198,414130,1273437,1636639,466342,996923,679336,1031154,509268,1554082,1889104,1170269,1089901,2080142,862030,625435,1275188,722405,964636,680663,1028252,1422049,2194239,1516098,1742773,984995,996572,1114778,3299665,2430338,1900446,1915916,1323047,2229288,1610862,1114026,1132823,1349394,1204688,755859,654927,1382156,1210534,1309629,1278334,1336044,1639483,1091405,920852,2498937,1865985,2266921,1839599,2001274,2065210,1246438,1653958,1885963,1409327,1462299,774709,1686789,1059311,1961606,1944405,1025885,905468,1424211,1268100,1540862,1563107,3097793,2201521,1636951,2558508
409,JRLGPAXAGHMNOL-LURJTMIESA-N,N-acetylornithine,7234972,8427588,1347442,6482796,9898587,5703612,5120441,10642690,16137277,2919278,1996005,2062937,1573196,11567471,13544803,10865488,3237727,7335379,10426674,9750332,7015285,1506404,1547891,9076164,1643412,1600438,1816941,14097251,1714936,10011615,2255343,10739384,3426565,12940234,14514672,11923620,11148049,2091748,14451015,11384460,6236440,10373668,1171502,11714212,1534783,5820730,12744117,11838356,7255617,10101426,11456685,9044101,1964342,11428243,14891929,2130846,8908145,7730786,1732171,7346962,1281625,1296389,13279600,9735509,8921625,1525262,9072828,7340507,2190433,1080423,10608656,11213796,4280550,1241753,12241444,2217440,1474109,11805389,2205975,3005894
410,KLZGKIDSEJWEDW-UHFFFAOYSA-N,N-acetyl putrescine,711528,1176496,926924,1168360,1381325,1093220,806646,1791925,2129055,1109562,6177550,4055769,3383364,9646782,5108914,1332635,1534706,1309672,1754465,1156139,812359,1171260,1253494,1728287,980999,1596860,1212378,2876292,1488586,1346676,5887954,9416554,3956390,3728520,5746794,1197709,1404896,1032738,2052974,1713041,926298,1348088,860416,1656148,1121820,861394,2486480,2533993,2344789,2263950,11068171,6104765,5113074,10012444,5353888,1670828,1627153,2080483,1786490,1850224,1673624,1875024,2350879,1565076,1621068,1503911,3118282,2220274,1405223,1098493,11041029,13031238,16456299,10154401,9855476,1873462,1068619,1899570,1634392,1755812
